Ticker, Earnings, Revenue, Percentage change, Market cap, IndustryCCL,17.81,2.06,-7.39,17723369472,Travel Services
BB,-100,0,-2.86,2712443136,Software—Infrastructure
NKE,27.03,0.09,0.59,146907561984,Footwear & Accessories
BSET,49.15,0.31,-0.76,122581672,"Furnishings, Fixtures & Appliances"
JBL,6.06,0.47,12.01,16602909696,Electronic Components
ACN,3.44,0.52,-0.32,193258946560,Information Technology Services
KMX,0,0.95,-1.96,11173349376,Auto & Truck Dealerships
WOR,3.52,11.81,3.15,3021255680,Metal Fabrication
JEF,-5.88,5.87,-0.38,8074515968,Capital Markets
MU,9.32,2.45,0.13,74600882176,Semiconductors
PAYX,1.79,0.12,3.56,41581346816,Staffing & Employment Services
MLKN,76.19,1.85,-1.74,1829935872,"Furnishings, Fixtures & Appliances"
COST,3.18,0.48,-1.11,251638710272,Discount Stores
AIR,6.85,8.68,-2.87,2102876160,Aerospace & Defense
CTAS,1.37,0.75,-4.2,49137475584,Specialty Business Services
SNX,12.55,99.90,-1.36,9193276416,Electronics & Computer Distribution
SCHL,-62.96,14.99,-1.12,1178150400,Publishing
FDS,-16.05,0.16,1.15,16684003328,Financial Data & Stock Exchanges
FDX,22.97,0.71,-0.45,66488020992,Integrated Freight & Logistics
SCS,82.35,3.29,0.23,1267799040,Business Equipment & Supplies
AZO,4.38,1.96,1.07,45469724672,Specialty Retail
ICMB,6.67,6.12,-0.24,56707632,Asset Management
LEN,12.68,2.40,0.55,31236601856,Residential Construction
ADBE,3.02,0.72,0.19,231843315712,Software—Infrastructure
EGAN,83.33,3.86,1.62,194882240,Software—Application
SMTC,450,0.55,0.84,1664042240,Semiconductors
CASY,34.52,0.45,-1.02,10124238848,Specialty Retail
ORCL,4.39,0,-0.24,289552465920,Software—Infrastructure
KR,4.35,1.16,5.15,32196509696,Grocery Stores
DOCU,10.77,1.61,-0.17,8561026560,Software—Application
SMAR,100,2.72,1.79,5490453504,Software—Application
ZUMZ,34.33,2.33,0.16,352290624,Apparel Retail
RH,49.43,2.90,-0.46,4882309120,Specialty Retail
LMNR,-86.67,8.07,0.27,274178240,Farm Products
TNP,3.12,4.86,-2.07,615486848,Oil & Gas Midstream
TTC,-22.76,11.36,-1.06,8641897472,Tools & Accessories
SCWX,37.50,3.32,-3.08,526035296,Software—Infrastructure
SAIC,28.12,5.43,-5.49,5592095744,Information Technology Services
MEI,-72.73,7.98,-13.94,826057920,Electronic Components
KFY,7.61,2.37,0.52,2507684864,Staffing & Employment Services
PATH,200,1.93,0.12,9708221440,Software—Infrastructure
CXM,100,3.04,1.02,3716312576,Software—Application
CTLP,-33.33,1.27,0.0,452164736,Information Technology Services
VRNT,-18.64,6.90,-1.41,1469558656,Software—Infrastructure
YEXT,0,0.67,0.11,786732608,Software—Infrastructure
GME,80,1.83,-1.63,5150949888,Specialty Retail
PHR,9.33,1.22,0.17,1037923520,Health Information Services
AKTS,-31.25,0.80,-22.15,55163296,Communication Equipment
EXPR,18.25,1.20,-3.27,33307454,Apparel Retail
ZS,30.61,5.71,2.31,23024588800,Software—Infrastructure
AVAV,150,11.01,-2.35,2930328064,Aerospace & Defense
HQY,12.77,1.95,1.09,6255517184,Health Information Services
AMRK,24.10,39.44,-1.42,685502400,Capital Markets
NTNX,60,3.91,0.48,8381697536,Software—Infrastructure
S,46.67,5.61,2.4,4988020224,Software—Infrastructure
MDB,106.67,8.69,-0.18,24805089280,Software—Infrastructure
LULU,5.93,1.86,0.52,48813191168,Apparel Retail
PD,90,3.20,0.19,2085507456,Software—Application
ESTC,127.27,3.20,1.28,7964566528,Software—Application
VMW,10.24,0.58,1.37,71923269632,Software—Infrastructure
TLYS,80.95,5.99,2.16,242378016,Apparel Retail
CPB,0,0.52,-5.25,12251497472,Packaged Foods
